DATE,TNWMVBSNNCB
1945-10-01,215.967
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,232.012
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,269.729
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,294.148
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,304.352
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,328.55
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,364.213
1952-01-01,375.506
1952-04-01,380.573
1952-07-01,381.181
1952-10-01,383.031
1953-01-01,387.657
1953-04-01,393.916
1953-07-01,400.201
1953-10-01,399.386
1954-01-01,403.602
1954-04-01,408.277
1954-07-01,410.158
1954-10-01,410.719
1955-01-01,416.336
1955-04-01,424.16
1955-07-01,434.785
1955-10-01,444.137
1956-01-01,460.918
1956-04-01,467.556
1956-07-01,481.329
1956-10-01,488.859
1957-01-01,499.472
1957-04-01,507.024
1957-07-01,514.595
1957-10-01,516.128
1958-01-01,520.206
1958-04-01,523.969
1958-07-01,528.399
1958-10-01,530.427
1959-01-01,537.269
1959-04-01,544.027
1959-07-01,551.439
1959-10-01,553.543
1960-01-01,556.847
1960-04-01,558.316
1960-07-01,563.39
1960-10-01,560.568
1961-01-01,563.588
1961-04-01,570.105
1961-07-01,575.96
1961-10-01,577.55
1962-01-01,584.124
1962-04-01,588.137
1962-07-01,593.761
1962-10-01,597.084
1963-01-01,602.055
1963-04-01,607.598
1963-07-01,614.26
1963-10-01,615.438
1964-01-01,623.509
1964-04-01,633.78
1964-07-01,641.858
1964-10-01,644.742
1965-01-01,654.295
1965-04-01,663.639
1965-07-01,673.193
1965-10-01,688.427
1966-01-01,697.518
1966-04-01,717.397
1966-07-01,727.853
1966-10-01,740.32
1967-01-01,751.427
1967-04-01,763.539
1967-07-01,779.409
1967-10-01,795.871
1968-01-01,810.564
1968-04-01,828.238
1968-07-01,841.451
1968-10-01,861.724
1969-01-01,883.406
1969-04-01,903.135
1969-07-01,923.842
1969-10-01,945.049
1970-01-01,966.149
1970-04-01,995.118
1970-07-01,1006.121
1970-10-01,1026.357
1971-01-01,1054.87
1971-04-01,1080.612
1971-07-01,1106.786
1971-10-01,1127.868
1972-01-01,1163.312
1972-04-01,1187.946
1972-07-01,1211.051
1972-10-01,1246.849
1973-01-01,1283.35
1973-04-01,1322.723
1973-07-01,1363.578
1973-10-01,1406.745
1974-01-01,1462.128
1974-04-01,1532.435
1974-07-01,1625.448
1974-10-01,1793.822
1975-01-01,1717.448
1975-04-01,1770.831
1975-07-01,1784.217
1975-10-01,1818.214
1976-01-01,1868.66
1976-04-01,1935.562
1976-07-01,1983.016
1976-10-01,2028.01
1977-01-01,2081.78
1977-04-01,2135.887
1977-07-01,2190.999
1977-10-01,2246.949
1978-01-01,2301.572
1978-04-01,2381.332
1978-07-01,2464.121
1978-10-01,2545.203
1979-01-01,2633.402
1979-04-01,2735.815
1979-07-01,2844.781
1979-10-01,2927.793
1980-01-01,3007.054
1980-04-01,3113.167
1980-07-01,3240.126
1980-10-01,3358.586
1981-01-01,3469.967
1981-04-01,3576.184
1981-07-01,3635.709
1981-10-01,3748.3
1982-01-01,3738.191
1982-04-01,3771.019
1982-07-01,3811.603
1982-10-01,3847.001
1983-01-01,3905.432
1983-04-01,3943.348
1983-07-01,3966.205
1983-10-01,4006.686
1984-01-01,4031.415
1984-04-01,4089.106
1984-07-01,4174.402
1984-10-01,4255.735
1985-01-01,4252.868
1985-04-01,4275.815
1985-07-01,4299.072
1985-10-01,4344.712
1986-01-01,4374.958
1986-04-01,4422.498
1986-07-01,4444.497
1986-10-01,4460.76
1987-01-01,4530.332
1987-04-01,4579.095
1987-07-01,4640.296
1987-10-01,4670.411
1988-01-01,4739.878
1988-04-01,4810.388
1988-07-01,4877.434
1988-10-01,4959.031
1989-01-01,5180.856
1989-04-01,5181.559
1989-07-01,5159.689
1989-10-01,5055.959
1990-01-01,5022.433
1990-04-01,5030.587
1990-07-01,5034.372
1990-10-01,5102.011
1991-01-01,5115.603
1991-04-01,5121.944
1991-07-01,5033.738
1991-10-01,4877.537
1992-01-01,4715.712
1992-04-01,4683.051
1992-07-01,4634.635
1992-10-01,4582.642
1993-01-01,4581.307
1993-04-01,4635.994
1993-07-01,4701.428
1993-10-01,4775.708
1994-01-01,4842.468
1994-04-01,4950.9
1994-07-01,5047.629
1994-10-01,5181.952
1995-01-01,5258.743
1995-04-01,5374.427
1995-07-01,5486.169
1995-10-01,5450.142
1996-01-01,5534.165
1996-04-01,5592.279
1996-07-01,5629.823
1996-10-01,5670.716
1997-01-01,6088.313
1997-04-01,6140.48
1997-07-01,6399.076
1997-10-01,6487.738
1998-01-01,6848.428
1998-04-01,6871.043
1998-07-01,7024.319
1998-10-01,6995.826
1999-01-01,7049.807
1999-04-01,7107.391
1999-07-01,7328.434
1999-10-01,7448.154
2000-01-01,7438.941
2000-04-01,7419.036
2000-07-01,8005.991
2000-10-01,8942.19
2001-01-01,8827.47
2001-04-01,8834.332
2001-07-01,8851.372
2001-10-01,9107.297
2002-01-01,9079.24
2002-04-01,9101.294
2002-07-01,9115.702
2002-10-01,9838.017
2003-01-01,10145.498
2003-04-01,10240.463
2003-07-01,10230.641
2003-10-01,9999.77
2004-01-01,10381.69
2004-04-01,10959.067
2004-07-01,11504.093
2004-10-01,11776.93
2005-01-01,11880.327
2005-04-01,12239.601
2005-07-01,12606.503
2005-10-01,13085.672
2006-01-01,13353.65
2006-04-01,13839.632
2006-07-01,14212.589
2006-10-01,14350.888
2007-01-01,14718.942
2007-04-01,15095.311
2007-07-01,15415.97
2007-10-01,15619.096
2008-01-01,15210.718
2008-04-01,14796.601
2008-07-01,15111.584
2008-10-01,14589.128
2009-01-01,14469.683
2009-04-01,13236.613
2009-07-01,12429.71
2009-10-01,12522.299
2010-01-01,12322.917
2010-04-01,13272.89
2010-07-01,13210.841
2010-10-01,11443.609
2011-01-01,11613.799
2011-04-01,11888.073
2011-07-01,12044.4
2011-10-01,11966.84
2012-01-01,11907.378
2012-04-01,12080.107
2012-07-01,12218.838
2012-10-01,12080.57
2013-01-01,12111.593
2013-04-01,12484.822
2013-07-01,12942.107
2013-10-01,13100.527
2014-01-01,13086.477
2014-04-01,13259.223
2014-07-01,13476.695
2014-10-01,13519.168
2015-01-01,13974.49
2015-04-01,14211.86
2015-07-01,14635.473
2015-10-01,14297.47
2016-01-01,13882.376
2016-04-01,14123.54
2016-07-01,14606.784
2016-10-01,14678.573
2017-01-01,14560.985
2017-04-01,14995.419
2017-07-01,15238.683
2017-10-01,15377.44
2018-01-01,15419.9
2018-04-01,16000.797
2018-07-01,15240.136
2018-10-01,16273.229
2019-01-01,15760.366
2019-04-01,16222.929
2019-07-01,16633.712
2019-10-01,16008.945
2020-01-01,17512.391
