DATE,TFAABSNNCB
1945-10-01,68.769
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,67.164
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,75.889
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,81.366
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,85.268
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,102.052
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,110.079
1952-01-01,108.243
1952-04-01,108.205
1952-07-01,113.493
1952-10-01,115.497
1953-01-01,113.867
1953-04-01,114.49
1953-07-01,118.486
1953-10-01,118.534
1954-01-01,114.258
1954-04-01,113.726
1954-07-01,119.27
1954-10-01,124.032
1955-01-01,124.749
1955-04-01,127.787
1955-07-01,135.132
1955-10-01,141.414
1956-01-01,137.367
1956-04-01,137.288
1956-07-01,141.888
1956-10-01,146.445
1957-01-01,144.586
1957-04-01,145.29
1957-07-01,149.147
1957-10-01,151.006
1958-01-01,147.59
1958-04-01,148.855
1958-07-01,156.078
1958-10-01,162.536
1959-01-01,163.203
1959-04-01,169.014
1959-07-01,173.28
1959-10-01,177.635
1960-01-01,176.386
1960-04-01,176.412
1960-07-01,178.665
1960-10-01,180.477
1961-01-01,178.777
1961-04-01,184.738
1961-07-01,188.469
1961-10-01,193.122
1962-01-01,192.913
1962-04-01,196.112
1962-07-01,200.534
1962-10-01,205.086
1963-01-01,205.46
1963-04-01,210.419
1963-07-01,214.972
1963-10-01,220.431
1964-01-01,220.009
1964-04-01,224.885
1964-07-01,230.935
1964-10-01,234.949
1965-01-01,237.235
1965-04-01,242.855
1965-07-01,248.759
1965-10-01,262.346
1966-01-01,264.424
1966-04-01,269.881
1966-07-01,273.867
1966-10-01,276.704
1967-01-01,275.184
1967-04-01,276.368
1967-07-01,283.103
1967-10-01,294.452
1968-01-01,299.673
1968-04-01,306.539
1968-07-01,313.259
1968-10-01,327.49
1969-01-01,335.375
1969-04-01,343.265
1969-07-01,351.153
1969-10-01,361.659
1970-01-01,365.781
1970-04-01,370.897
1970-07-01,374.551
1970-10-01,383.051
1971-01-01,389.006
1971-04-01,397.084
1971-07-01,408.352
1971-10-01,424.606
1972-01-01,435.735
1972-04-01,444.884
1972-07-01,456.339
1972-10-01,492.981
1973-01-01,509.925
1973-04-01,527.512
1973-07-01,544.332
1973-10-01,570.982
1974-01-01,583.95
1974-04-01,598.318
1974-07-01,616.478
1974-10-01,615.317
1975-01-01,740.002
1975-04-01,758.834
1975-07-01,762.414
1975-10-01,773.347
1976-01-01,808.542
1976-04-01,839.449
1976-07-01,860.555
1976-10-01,863.063
1977-01-01,880.725
1977-04-01,901.209
1977-07-01,929.424
1977-10-01,964.134
1978-01-01,992.367
1978-04-01,1017.151
1978-07-01,1054.63
1978-10-01,1098.824
1979-01-01,1143.041
1979-04-01,1175.645
1979-07-01,1239.122
1979-10-01,1277.544
1980-01-01,1302.189
1980-04-01,1316.917
1980-07-01,1399.642
1980-10-01,1444.57
1981-01-01,1565.532
1981-04-01,1591.543
1981-07-01,1613.366
1981-10-01,1638.143
1982-01-01,1655.774
1982-04-01,1661.747
1982-07-01,1714.43
1982-10-01,1748.754
1983-01-01,1793.538
1983-04-01,1858.779
1983-07-01,1891.4
1983-10-01,1926.366
1984-01-01,2002.637
1984-04-01,2084.213
1984-07-01,2174.835
1984-10-01,2200.602
1985-01-01,2264.666
1985-04-01,2311.382
1985-07-01,2358.865
1985-10-01,2470.849
1986-01-01,2474.511
1986-04-01,2513.21
1986-07-01,2585.96
1986-10-01,2639.744
1987-01-01,2738.784
1987-04-01,2788.193
1987-07-01,2853.365
1987-10-01,2870.522
1988-01-01,2939.814
1988-04-01,3002.053
1988-07-01,3046.145
1988-10-01,3250.12
1989-01-01,3391.049
1989-04-01,3432.489
1989-07-01,3462.038
1989-10-01,3478.895
1990-01-01,3484.249
1990-04-01,3496.118
1990-07-01,3537.148
1990-10-01,3587.511
1991-01-01,3619.935
1991-04-01,3650.212
1991-07-01,3709.012
