DATE,TLBSNNCB
1945-10-01,70.188
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,80.16
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,92.995
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,101.836
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,101.086
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,123.646
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,136.442
1952-01-01,133.945
1952-04-01,130.976
1952-07-01,136.151
1952-10-01,141.231
1953-01-01,139.123
1953-04-01,139.793
1953-07-01,144.012
1953-10-01,146.098
1954-01-01,140.553
1954-04-01,138.011
1954-07-01,142.579
1954-10-01,149.274
1955-01-01,147.524
1955-04-01,150.525
1955-07-01,159.494
1955-10-01,171.274
1956-01-01,168.037
1956-04-01,169.529
1956-07-01,175.28
1956-10-01,183.501
1957-01-01,181.583
1957-04-01,182.391
1957-07-01,186.756
1957-10-01,192.867
1958-01-01,187.049
1958-04-01,187.021
1958-07-01,193.146
1958-10-01,202.401
1959-01-01,202.93
1959-04-01,208.879
1959-07-01,211.122
1959-10-01,219.159
1960-01-01,219.271
1960-04-01,222.026
1960-07-01,223.545
1960-10-01,229.575
1961-01-01,226.36
1961-04-01,229.871
1961-07-01,233.392
1961-10-01,242.111
1962-01-01,241.347
1962-04-01,245.815
1962-07-01,250.954
1962-10-01,257.379
1963-01-01,257.569
1963-04-01,262.384
1963-07-01,267.061
1963-10-01,277.857
1964-01-01,275.81
1964-04-01,281.254
1964-07-01,287.37
1964-10-01,300.021
1965-01-01,304.244
1965-04-01,311.892
1965-07-01,319.839
1965-10-01,335.211
1966-01-01,339.538
1966-04-01,348.223
1966-07-01,356.737
1966-10-01,369.173
1967-01-01,370.432
1967-04-01,373.775
1967-07-01,380.979
1967-10-01,397.015
1968-01-01,406.167
1968-04-01,414.454
1968-07-01,426.456
1968-10-01,445.991
1969-01-01,455.207
1969-04-01,468.361
1969-07-01,481.859
1969-10-01,500.409
1970-01-01,506.349
1970-04-01,518.803
1970-07-01,526.801
1970-10-01,539.623
1971-01-01,546.116
1971-04-01,556.453
1971-07-01,567.535
1971-10-01,585.31
1972-01-01,594.281
1972-04-01,605.108
