DATE,TABSNNB
1945-10-01,212.285
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,253.311
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,289.295
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,307.502
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,310.883
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,332.161
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,362.577
1952-01-01,366.823
1952-04-01,368.964
1952-07-01,370.036
1952-10-01,367.808
1953-01-01,367.578
1953-04-01,367.163
1953-07-01,368.951
1953-10-01,368.66
1954-01-01,370.688
1954-04-01,372.055
1954-07-01,375.252
1954-10-01,376.573
1955-01-01,380.174
1955-04-01,382.918
1955-07-01,387.815
1955-10-01,391.909
1956-01-01,399.377
1956-04-01,405.83
1956-07-01,410.917
1956-10-01,412.955
1957-01-01,417.951
1957-04-01,421.436
1957-07-01,426.022
1957-10-01,428.048
1958-01-01,435.78
1958-04-01,440.628
1958-07-01,445.022
1958-10-01,447.019
1959-01-01,449.875
1959-04-01,451.84
1959-07-01,453.451
1959-10-01,454.042
1960-01-01,459.713
1960-04-01,462.189
1960-07-01,466.558
1960-10-01,469.342
1961-01-01,474.534
1961-04-01,479.633
1961-07-01,486.706
1961-10-01,492.795
1962-01-01,500.231
1962-04-01,505.631
1962-07-01,512.413
1962-10-01,517.34
1963-01-01,521.697
1963-04-01,524.168
1963-07-01,525.758
1963-10-01,530.243
1964-01-01,533.502
1964-04-01,541.659
1964-07-01,548.092
1964-10-01,557.677
1965-01-01,565.399
1965-04-01,573.306
1965-07-01,579.457
1965-10-01,593.578
1966-01-01,599.838
1966-04-01,616.349
1966-07-01,624.019
1966-10-01,635.56
1967-01-01,641.62
1967-04-01,650.536
1967-07-01,658.579
1967-10-01,670.485
1968-01-01,683.196
1968-04-01,695.457
1968-07-01,705.406
1968-10-01,724.467
1969-01-01,739.202
1969-04-01,753.716
1969-07-01,762.041
1969-10-01,775.424
1970-01-01,785.612
1970-04-01,808.665
1970-07-01,809.136
1970-10-01,821.332
1971-01-01,847.964
1971-04-01,870.888
1971-07-01,892.55
1971-10-01,914.389
1972-01-01,942.375
1972-04-01,967.73
1972-07-01,996.558
1972-10-01,1032.255
1973-01-01,1074.575
1973-04-01,1123.452
1973-07-01,1174.251
1973-10-01,1213.19
1974-01-01,1245.311
1974-04-01,1280.2
1974-07-01,1334.234
1974-10-01,1372.87
1975-01-01,1408.535
1975-04-01,1446.046
1975-07-01,1469.852
1975-10-01,1496.721
1976-01-01,1525.796
1976-04-01,1577.69
1976-07-01,1615.249
1976-10-01,1661.773
1977-01-01,1709.475
1977-04-01,1755.978
1977-07-01,1811.583
1977-10-01,1873.17
1978-01-01,1948.053
1978-04-01,2023.941
1978-07-01,2095.872
1978-10-01,2171.173
