DATE,ROWTASQ027S
1945-10-01,13418.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,11855.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,11901.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,12573.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,13503.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,16337.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,17154.0
1952-01-01,17308.0
1952-04-01,17895.0
1952-07-01,18511.0
1952-10-01,18555.0
1953-01-01,18476.0
1953-04-01,18787.0
1953-07-01,19204.0
1953-10-01,19493.0
1954-01-01,20379.0
1954-04-01,21067.0
1954-07-01,21976.0
1954-10-01,22769.0
1955-01-01,22766.0
1955-04-01,23536.0
1955-07-01,24236.0
1955-10-01,24506.0
1956-01-01,25539.0
1956-04-01,25745.0
1956-07-01,26381.0
1956-10-01,26301.0
1957-01-01,25791.0
1957-04-01,26750.0
1957-07-01,25922.0
1957-10-01,25964.0
1958-01-01,26455.0
1958-04-01,26876.0
1958-07-01,28095.0
1958-10-01,29455.0
1959-01-01,30368.0
1959-04-01,32798.0
1959-07-01,33591.0
1959-10-01,34574.0
1960-01-01,34309.0
1960-04-01,35235.0
1960-07-01,35471.0
1960-10-01,36920.0
1961-01-01,38640.0
1961-04-01,38798.0
1961-07-01,40429.0
1961-10-01,41408.0
1962-01-01,41865.0
1962-04-01,39583.0
1962-07-01,40428.0
1962-10-01,42256.0
1963-01-01,43844.0
1963-04-01,45663.0
1963-07-01,46906.0
1963-10-01,47404.0
1964-01-01,48289.0
1964-04-01,49235.0
1964-07-01,50938.0
1964-10-01,56394.0
1965-01-01,56567.0
1965-04-01,56337.0
1965-07-01,58131.0
1965-10-01,59099.0
1966-01-01,58696.0
1966-04-01,58496.0
1966-07-01,58787.0
1966-10-01,61776.0
1967-01-01,65976.0
1967-04-01,70238.0
1967-07-01,77391.0
1967-10-01,81777.0
1968-01-01,81910.0
1968-04-01,86600.0
1968-07-01,90505.0
1968-10-01,93559.0
1969-01-01,95753.0
1969-04-01,99404.0
1969-07-01,98058.0
1969-10-01,102865.0
1970-01-01,105102.0
1970-04-01,103366.0
1970-07-01,107816.0
1970-10-01,111986.0
1971-01-01,118754.0
1971-04-01,123807.0
1971-07-01,133940.0
1971-10-01,140073.0
1972-01-01,146385.0
1972-04-01,149885.0
1972-07-01,157373.0
1972-10-01,166791.0
1973-01-01,173222.0
1973-04-01,172403.0
1973-07-01,176485.0
1973-10-01,170671.0
1974-01-01,177536.0
1974-04-01,175035.0
1974-07-01,175152.0
1974-10-01,181260.0
1975-01-01,189802.0
1975-04-01,192881.0
1975-07-01,192159.0
