DATE,ROWTLEQ027S
1945-10-01,14523.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,16756.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,23622.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,26311.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,27842.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,29604.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,31671.0
1952-01-01,31253.0
1952-04-01,32485.0
1952-07-01,33187.0
1952-10-01,34068.0
1953-01-01,34664.0
1953-04-01,35178.0
1953-07-01,35908.0
1953-10-01,36504.0
1954-01-01,36996.0
1954-04-01,37465.0
1954-07-01,37742.0
1954-10-01,38592.0
1955-01-01,38932.0
1955-04-01,39825.0
1955-07-01,40420.0
1955-10-01,41138.0
1956-01-01,42233.0
1956-04-01,43237.0
1956-07-01,44455.0
1956-10-01,46467.0
1957-01-01,47562.0
1957-04-01,49531.0
1957-07-01,50246.0
1957-10-01,51318.0
1958-01-01,52351.0
1958-04-01,53879.0
1958-07-01,55061.0
1958-10-01,56400.0
1959-01-01,57028.0
1959-04-01,58947.0
1959-07-01,59599.0
1959-10-01,60375.0
1960-01-01,61218.0
1960-04-01,62507.0
1960-07-01,63098.0
1960-10-01,65461.0
1961-01-01,67165.0
1961-04-01,68251.0
1961-07-01,70358.0
1961-10-01,72101.0
1962-01-01,73513.0
1962-04-01,74099.0
1962-07-01,75385.0
1962-10-01,77078.0
1963-01-01,79175.0
1963-04-01,81622.0
1963-07-01,82575.0
1963-10-01,84233.0
1964-01-01,86018.0
1964-04-01,87613.0
1964-07-01,89549.0
1964-10-01,92885.0
1965-01-01,95168.0
1965-04-01,97094.0
1965-07-01,98686.0
1965-10-01,106076.0
1966-01-01,107344.0
1966-04-01,109520.0
1966-07-01,110537.0
1966-10-01,111570.0
1967-01-01,113787.0
1967-04-01,116280.0
1967-07-01,119266.0
1967-10-01,125183.0
1968-01-01,127631.0
1968-04-01,131056.0
1968-07-01,134328.0
1968-10-01,140390.0
1969-01-01,142994.0
1969-04-01,146313.0
1969-07-01,149206.0
1969-10-01,153848.0
1970-01-01,157279.0
1970-04-01,158681.0
1970-07-01,161196.0
1970-10-01,166764.0
1971-01-01,167703.0
1971-04-01,171144.0
1971-07-01,173468.0
1971-10-01,181277.0
1972-01-01,181719.0
1972-04-01,184601.0
1972-07-01,187497.0
1972-10-01,211377.0
1973-01-01,200426.0
1973-04-01,205094.0
1973-07-01,208735.0
1973-10-01,222671.0
1974-01-01,225780.0
1974-04-01,231750.0
1974-07-01,238888.0
1974-10-01,248685.0
1975-01-01,259527.0
1975-04-01,265567.0
1975-07-01,268730.0
1975-10-01,279214.0
1976-01-01,288440.0
1976-04-01,296325.0
1976-07-01,302898.0
1976-10-01,370629.0
1977-01-01,375650.0
1977-04-01,384102.0
1977-07-01,389870.0
1977-10-01,409235.0
1978-01-01,420426.0
1978-04-01,426343.0
1978-07-01,431532.0
1978-10-01,476919.0
1979-01-01,495200.0
1979-04-01,507654.0
1979-07-01,530599.0
1979-10-01,568791.0
1980-01-01,585371.0
1980-04-01,601384.0
1980-07-01,613730.0
1980-10-01,666577.0
1981-01-01,688739.0
1981-04-01,703496.0
1981-07-01,711327.0
1981-10-01,757580.0
1982-01-01,591922.0
1982-04-01,615586.0
1982-07-01,614532.0
1982-10-01,651748.0
1983-01-01,666556.0
1983-04-01,679043.0
1983-07-01,700489.0
1983-10-01,807350.0
1984-01-01,834620.0
1984-04-01,856746.0
1984-07-01,849463.0
1984-10-01,830772.0
1985-01-01,840817.0
1985-04-01,842889.0
1985-07-01,854794.0
1985-10-01,981066.0
1986-01-01,1011208.0
1986-04-01,1032500.0
1986-07-01,1063715.0
1986-10-01,1194772.0
1987-01-01,1230358.0
1987-04-01,1236080.0
1987-07-01,1258232.0
1987-10-01,1312281.0
1988-01-01,1332377.0
1988-04-01,1338443.0
1988-07-01,1360782.0
1988-10-01,1502044.0
1989-01-01,1546403.0
1989-04-01,1563228.0
1989-07-01,1621976.0
1989-10-01,1774931.0
1990-01-01,1741990.0
1990-04-01,1798067.0
1990-07-01,1813837.0
1990-10-01,1726320.0
1991-01-01,1771492.0
1991-04-01,1748968.0
1991-07-01,1796224.0
1991-10-01,1888274.0
1992-01-01,1879163.0
1992-04-01,1919783.0
1992-07-01,1958298.0
1992-10-01,1895532.0
1993-01-01,1968632.0
1993-04-01,2062447.0
1993-07-01,2161330.0
1993-10-01,2479275.0
1994-01-01,2520690.0
1994-04-01,2600412.0
1994-07-01,2639769.0
1994-10-01,2719030.0
1995-01-01,2794957.0
1995-04-01,2885993.0
1995-07-01,2985377.0
1995-10-01,3324314.0
1996-01-01,3444457.0
1996-04-01,3521761.0
1996-07-01,3639574.0
1996-10-01,3972222.0
1997-01-01,4060884.0
1997-04-01,4290953.0
1997-07-01,4425297.0
1997-10-01,4614500.0
1998-01-01,4854911.0
1998-04-01,4924853.0
1998-07-01,4772583.0
1998-10-01,5346161.0
1999-01-01,5491639.0
1999-04-01,5681039.0
1999-07-01,5826222.0
1999-10-01,6540716.0
2000-01-01,6757424.0
2000-04-01,6771951.0
2000-07-01,6687755.0
2000-10-01,6414566.0
2001-01-01,6447013.0
2001-04-01,6492984.0
2001-07-01,6215120.0
2001-10-01,5957691.0
2002-01-01,5981704.0
2002-04-01,6017130.0
2002-07-01,5803799.0
2002-10-01,5698458.0
2003-01-01,5713691.0
2003-04-01,6149833.0
2003-07-01,6330556.0
2003-10-01,7501366.0
2004-01-01,7747311.0
2004-04-01,7904482.0
2004-07-01,8096458.0
2004-10-01,9060383.0
2005-01-01,9336513.0
2005-04-01,9479266.0
2005-07-01,9885486.0
2005-10-01,10206951.0
2006-01-01,11128568.0
2006-04-01,11321085.0
2006-07-01,11845771.0
2006-10-01,12771962.0
2007-01-01,13390686.0
2007-04-01,14496900.0
2007-07-01,15246276.0
2007-10-01,15325917.0
2008-01-01,14619566.0
2008-04-01,14174759.0
2008-07-01,12089386.0
2008-10-01,10204193.0
2009-01-01,9543113.0
2009-04-01,10821942.0
2009-07-01,12449945.0
2009-10-01,12615591.0
2010-01-01,12973672.0
2010-04-01,12098685.0
2010-07-01,13741093.0
2010-10-01,14529929.0
2011-01-01,15205377.0
2011-04-01,15467134.0
2011-07-01,13617573.0
2011-10-01,14064142.0
2012-01-01,15009121.0
2012-04-01,14308517.0
2012-07-01,15227862.0
2012-10-01,15710123.0
2013-01-01,16282309.0
2013-04-01,16151441.0
2013-07-01,17338461.0
2013-10-01,17927674.0
2014-01-01,18366231.0
2014-04-01,19252621.0
2014-07-01,18771824.0
2014-10-01,18459077.0
2015-01-01,19114906.0
2015-04-01,19143582.0
2015-07-01,17765562.0
2015-10-01,17967316.0
2016-01-01,18077248.0
2016-04-01,18253605.0
2016-07-01,18945892.0
2016-10-01,18765317.0
2017-01-01,20070467.0
2017-04-01,21010266.0
2017-07-01,22189856.0
2017-10-01,23022637.0
2018-01-01,22873842.0
2018-04-01,22425879.0
2018-07-01,22612468.0
2018-10-01,20724202.0
2019-01-01,22347045.0
2019-04-01,22998044.0
2019-07-01,23018730.0
2019-10-01,24311452.0
2020-01-01,20693900.0
