DATE,TNWBSHNO
1945-10-01,806.613
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,885.213
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,984.192
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,1037.009
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,1079.406
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,1171.499
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,1280.581
1952-01-01,1298.493
1952-04-01,1321.042
1952-07-01,1333.84
1952-10-01,1337.793
1953-01-01,1348.046
1953-04-01,1350.292
1953-07-01,1364.967
1953-10-01,1385.781
1954-01-01,1408.565
1954-04-01,1430.234
1954-07-01,1466.449
1954-10-01,1483.616
1955-01-01,1505.239
1955-04-01,1540.271
1955-07-01,1579.584
1955-10-01,1600.009
1956-01-01,1642.759
1956-04-01,1652.892
1956-07-01,1671.494
1956-10-01,1709.922
1957-01-01,1722.782
1957-04-01,1759.882
1957-07-01,1758.281
1957-10-01,1775.0
1958-01-01,1808.372
1958-04-01,1835.534
1958-07-01,1889.617
1958-10-01,1919.844
1959-01-01,1940.138
1959-04-01,1967.851
1959-07-01,1981.083
1959-10-01,2014.737
1960-01-01,2023.11
1960-04-01,2041.107
1960-07-01,2036.475
1960-10-01,2089.686
1961-01-01,2140.112
1961-04-01,2162.787
1961-07-01,2199.215
1961-10-01,2255.118
1962-01-01,2268.06
1962-04-01,2173.245
1962-07-01,2212.671
1962-10-01,2317.65
1963-01-01,2351.963
1963-04-01,2384.123
1963-07-01,2425.982
1963-10-01,2420.886
1964-01-01,2467.384
1964-04-01,2511.567
1964-07-01,2557.994
1964-10-01,2602.229
1965-01-01,2645.915
1965-04-01,2642.818
1965-07-01,2720.613
1965-10-01,2800.991
1966-01-01,2807.564
1966-04-01,2839.708
1966-07-01,2811.344
1966-10-01,2900.345
1967-01-01,3006.44
1967-04-01,3047.433
1967-07-01,3134.031
1967-10-01,3201.655
1968-01-01,3223.994
1968-04-01,3361.842
1968-07-01,3423.815
1968-10-01,3593.303
1969-01-01,3610.644
1969-04-01,3618.022
1969-07-01,3639.933
1969-10-01,3657.992
1970-01-01,3685.619
1970-04-01,3622.17
1970-07-01,3749.8
1970-10-01,3872.963
1971-01-01,4035.535
1971-04-01,4109.341
1971-07-01,4169.628
1971-10-01,4291.192
1972-01-01,4449.427
1972-04-01,4514.216
1972-07-01,4639.453
1972-10-01,4885.994
1973-01-01,4909.902
1973-04-01,4949.452
1973-07-01,5130.451
1973-10-01,5094.899
1974-01-01,5124.396
1974-04-01,5107.159
1974-07-01,5067.239
1974-10-01,5205.735
1975-01-01,5457.697
1975-04-01,5690.31
1975-07-01,5686.28
1975-10-01,5854.185
1976-01-01,6053.407
1976-04-01,6230.296
1976-07-01,6346.418
1976-10-01,6515.116
1977-01-01,6623.413
1977-04-01,6802.302
1977-07-01,6942.488
1977-10-01,7101.107
1978-01-01,7274.459
1978-04-01,7523.51
1978-07-01,7769.909
1978-10-01,7951.37
1979-01-01,8262.004
1979-04-01,8534.388
1979-07-01,8817.452
1979-10-01,9097.941
1980-01-01,9290.453
1980-04-01,9636.377
1980-07-01,10030.66
1980-10-01,10354.927
1981-01-01,10552.253
1981-04-01,10835.946
1981-07-01,10937.271
1981-10-01,11248.754
1982-01-01,11386.191
1982-04-01,11516.999
1982-07-01,11741.599
1982-10-01,12069.618
1983-01-01,12406.915
1983-04-01,12705.8
1983-07-01,12866.821
1983-10-01,12965.544
1984-01-01,13206.403
1984-04-01,13429.166
1984-07-01,13760.298
1984-10-01,14042.076
1985-01-01,14441.246
1985-04-01,14773.322
1985-07-01,14976.868
1985-10-01,15471.254
1986-01-01,15972.181
1986-04-01,16347.535
1986-07-01,16526.496
1986-10-01,17096.607
1987-01-01,17720.606
1987-04-01,18012.389
1987-07-01,18424.253
1987-10-01,18369.62
1988-01-01,18878.957
1988-04-01,19317.211
1988-07-01,19638.833
1988-10-01,20146.85
1989-01-01,20579.793
1989-04-01,21002.222
1989-07-01,21544.753
1989-10-01,21947.398
1990-01-01,22076.312
1990-04-01,22314.68
1990-07-01,22146.808
1990-10-01,22580.974
1991-01-01,23165.753
1991-04-01,23214.258
1991-07-01,23493.929
1991-10-01,24080.581
1992-01-01,24170.85
1992-04-01,24256.544
1992-07-01,24607.335
1992-10-01,25206.565
1993-01-01,25536.024
1993-04-01,25798.519
1993-07-01,26195.128
1993-10-01,26629.389
1994-01-01,26787.323
1994-04-01,26970.132
1994-07-01,27328.96
1994-10-01,27542.031
1995-01-01,28110.527
1995-04-01,28668.71
1995-07-01,29309.26
1995-10-01,30026.006
1996-01-01,30632.352
1996-04-01,31064.392
1996-07-01,31365.52
1996-10-01,32079.857
1997-01-01,32462.839
1997-04-01,33772.114
1997-07-01,34804.262
1997-10-01,35441.561
1998-01-01,37190.798
1998-04-01,37786.594
1998-07-01,37199.819
1998-10-01,39268.801
1999-01-01,39607.432
1999-04-01,40634.083
1999-07-01,40616.6
1999-10-01,43229.486
2000-01-01,44484.655
2000-04-01,44275.981
2000-07-01,45079.183
2000-10-01,44628.413
2001-01-01,44542.728
2001-04-01,45730.32
2001-07-01,44700.813
2001-10-01,46243.846
2002-01-01,46889.401
2002-04-01,46314.554
2002-07-01,45258.0
2002-10-01,46460.228
2003-01-01,46741.208
2003-04-01,48671.179
2003-07-01,49596.274
2003-10-01,51582.093
2004-01-01,54161.473
2004-04-01,54975.786
2004-07-01,56356.974
2004-10-01,58735.019
2005-01-01,59639.301
2005-04-01,61252.166
2005-07-01,62907.686
2005-10-01,64542.295
2006-01-01,66385.238
2006-04-01,66450.295
2006-07-01,67618.332
2006-10-01,69098.158
2007-01-01,70152.322
2007-04-01,70589.387
2007-07-01,71346.856
2007-10-01,70644.197
2008-01-01,68607.906
2008-04-01,67079.076
2008-07-01,64805.568
2008-10-01,61622.687
2009-01-01,60297.438
2009-04-01,60909.393
2009-07-01,62479.299
2009-10-01,62781.584
2010-01-01,63982.051
2010-04-01,63503.485
2010-07-01,65555.923
2010-10-01,66464.963
2011-01-01,67633.892
2011-04-01,68111.919
2011-07-01,66418.07
2011-10-01,67742.049
2012-01-01,69817.093
2012-04-01,69859.079
2012-07-01,71886.801
2012-10-01,72845.794
2013-01-01,75770.674
2013-04-01,76956.522
2013-07-01,79495.699
2013-10-01,81713.605
2014-01-01,83409.461
2014-04-01,85219.707
2014-07-01,85675.539
2014-10-01,87544.494
2015-01-01,89455.169
2015-04-01,90003.559
2015-07-01,89049.101
2015-10-01,90628.713
2016-01-01,91805.631
2016-04-01,93264.219
2016-07-01,95144.089
2016-10-01,95912.154
2017-01-01,98402.877
2017-04-01,100115.617
2017-07-01,102088.085
2017-10-01,104793.371
2018-01-01,105550.364
2018-04-01,107189.655
2018-07-01,109194.133
2018-10-01,105727.409
2019-01-01,111173.49
2019-04-01,113151.0
2019-07-01,114239.31
2019-10-01,117335.353
2020-01-01,110787.238
