DATE,TABSHNO
1945-10-01,837.197
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,922.654
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,1030.66
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,1092.118
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,1142.467
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,1248.302
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,1366.148
1952-01-01,1384.717
1952-04-01,1411.453
1952-07-01,1427.281
1952-10-01,1435.683
1953-01-01,1448.253
1953-04-01,1454.991
1953-07-01,1472.196
1953-10-01,1496.405
1954-01-01,1519.061
1954-04-01,1544.546
1954-07-01,1584.212
1954-10-01,1606.708
1955-01-01,1631.554
1955-04-01,1673.697
1955-07-01,1718.371
1955-10-01,1744.435
1956-01-01,1788.944
1956-04-01,1804.338
1956-07-01,1826.327
1956-10-01,1869.522
1957-01-01,1883.543
1957-04-01,1925.71
1957-07-01,1927.252
1957-10-01,1947.076
1958-01-01,1979.584
1958-04-01,2010.317
1958-07-01,2067.976
1958-10-01,2103.993
1959-01-01,2126.782
1959-04-01,2161.53
1959-07-01,2180.977
1959-10-01,2221.439
1960-01-01,2230.736
1960-04-01,2255.592
1960-07-01,2255.542
1960-10-01,2314.236
1961-01-01,2365.423
1961-04-01,2394.299
1961-07-01,2435.002
1961-10-01,2498.031
1962-01-01,2512.3
1962-04-01,2424.584
1962-07-01,2470.225
1962-10-01,2582.699
1963-01-01,2619.922
1963-04-01,2661.599
1963-07-01,2710.975
1963-10-01,2714.89
1964-01-01,2765.353
1964-04-01,2819.133
1964-07-01,2872.372
1964-10-01,2925.598
1965-01-01,2972.779
1965-04-01,2979.287
1965-07-01,3063.998
1965-10-01,3153.777
1966-01-01,3163.528
1966-04-01,3205.368
1966-07-01,3180.895
1966-10-01,3276.367
1967-01-01,3382.252
1967-04-01,3430.58
1967-07-01,3523.24
1967-10-01,3612.524
1968-01-01,3626.462
1968-04-01,3777.024
1968-07-01,3846.596
1968-10-01,4029.447
1969-01-01,4045.564
1969-04-01,4064.354
1969-07-01,4092.114
1969-10-01,4121.772
1970-01-01,4141.86
1970-04-01,4084.97
1970-07-01,4219.539
1970-10-01,4351.704
1971-01-01,4517.03
1971-04-01,4604.487
1971-07-01,4677.519
1971-10-01,4815.278
1972-01-01,4980.76
1972-04-01,5065.488
1972-07-01,5206.177
1972-10-01,5471.417
1973-01-01,5507.448
1973-04-01,5565.907
1973-07-01,5766.0
1973-10-01,5746.862
1974-01-01,5780.61
1974-04-01,5784.166
1974-07-01,5762.666
1974-10-01,5914.353
1975-01-01,6165.639
1975-04-01,6412.282
1975-07-01,6428.337
1975-10-01,6619.961
1976-01-01,6828.714
1976-04-01,7032.355
1976-07-01,7173.637
1976-10-01,7370.469
1977-01-01,7495.546
1977-04-01,7713.168
1977-07-01,7891.538
1977-10-01,8087.992
1978-01-01,8284.255
1978-04-01,8583.667
1978-07-01,8877.636
1978-10-01,9101.622
1979-01-01,9439.801
1979-04-01,9759.741
1979-07-01,10093.212
1979-10-01,10419.169
1980-01-01,10640.696
1980-04-01,11004.871
1980-07-01,11435.155
1980-10-01,11801.874
1981-01-01,12008.446
1981-04-01,12329.541
1981-07-01,12461.856
1981-10-01,12804.819
1982-01-01,12946.327
1982-04-01,13101.349
1982-07-01,13335.924
1982-10-01,13698.648
1983-01-01,14029.137
1983-04-01,14379.127
1983-07-01,14597.968
1983-10-01,14759.299
1984-01-01,15032.54
1984-04-01,15320.316
1984-07-01,15707.19
1984-10-01,16056.053
1985-01-01,16529.467
1985-04-01,16937.14
1985-07-01,17232.701
1985-10-01,17840.564
1986-01-01,18365.589
1986-04-01,18806.649
1986-07-01,19072.106
1986-10-01,19729.373
1987-01-01,20358.864
1987-04-01,20743.937
1987-07-01,21233.578
1987-10-01,21229.955
1988-01-01,21783.979
1988-04-01,22307.736
1988-07-01,22710.115
1988-10-01,23292.397
1989-01-01,23769.448
1989-04-01,24279.777
1989-07-01,24906.128
1989-10-01,25391.735
1990-01-01,25588.33
1990-04-01,25899.29
