DATE,IPG21222S
1972-01-01,24.9872
1972-02-01,26.2182
1972-03-01,26.5612
1972-04-01,25.5496
1972-05-01,25.8149
1972-06-01,23.8359
1972-07-01,22.6023
1972-08-01,18.9615
1972-09-01,21.2260
1972-10-01,22.1484
1972-11-01,21.5958
1972-12-01,21.2403
1973-01-01,22.0720
1973-02-01,21.9871
1973-03-01,19.9682
1973-04-01,19.3753
1973-05-01,20.0875
1973-06-01,19.8371
1973-07-01,21.5621
1973-08-01,21.0822
1973-09-01,18.9910
1973-10-01,19.7926
1973-11-01,19.2240
1973-12-01,19.2984
1974-01-01,18.3974
1974-02-01,18.9821
1974-03-01,19.9475
1974-04-01,20.5436
1974-05-01,20.2939
1974-06-01,19.7364
1974-07-01,18.3143
1974-08-01,16.5819
1974-09-01,18.2191
1974-10-01,18.5848
1974-11-01,18.7033
1974-12-01,18.3034
1975-01-01,19.2414
1975-02-01,17.9900
1975-03-01,16.4235
1975-04-01,17.9004
1975-05-01,17.7252
1975-06-01,18.6439
1975-07-01,18.3607
1975-08-01,18.1499
1975-09-01,19.1779
1975-10-01,18.5596
1975-11-01,19.0059
1975-12-01,19.8301
1976-01-01,19.1370
1976-02-01,18.2271
1976-03-01,18.2745
1976-04-01,18.4704
1976-05-01,17.5230
1976-06-01,18.1481
1976-07-01,18.8452
1976-08-01,18.7144
1976-09-01,18.8674
1976-10-01,18.0138
1976-11-01,17.7141
1976-12-01,17.3776
1977-01-01,18.7068
1977-02-01,18.4444
1977-03-01,19.3560
1977-04-01,18.7753
1977-05-01,19.7583
1977-06-01,19.6755
1977-07-01,18.5828
1977-08-01,19.3327
1977-09-01,19.0728
1977-10-01,20.1741
1977-11-01,21.0989
1977-12-01,21.9856
1978-01-01,19.4106
1978-02-01,20.5020
1978-03-01,19.6330
1978-04-01,18.9560
1978-05-01,18.2244
1978-06-01,18.9155
1978-07-01,16.8580
1978-08-01,19.0676
1978-09-01,19.1450
1978-10-01,19.9431
1978-11-01,18.9950
1978-12-01,18.2551
1979-01-01,17.6575
1979-02-01,17.3903
1979-03-01,17.0007
1979-04-01,17.2140
1979-05-01,17.9906
1979-06-01,17.8046
1979-07-01,19.6321
1979-08-01,20.3538
1979-09-01,19.0614
1979-10-01,18.8670
1979-11-01,18.5987
1979-12-01,18.3057
1980-01-01,18.3473
1980-02-01,18.7832
1980-03-01,17.9257
1980-04-01,18.8190
1980-05-01,18.9067
1980-06-01,18.2990
1980-07-01,13.2320
1980-08-01,11.4228
1980-09-01,14.0933
1980-10-01,15.3897
1980-11-01,16.3809
1980-12-01,21.8019
1981-01-01,20.6861
1981-02-01,21.5676
1981-03-01,21.4016
1981-04-01,21.0311
1981-05-01,21.0939
1981-06-01,23.0563
1981-07-01,25.8919
1981-08-01,24.2405
1981-09-01,25.3772
1981-10-01,24.5897
1981-11-01,24.6025
1981-12-01,24.2737
1982-01-01,23.3448
1982-02-01,24.0695
1982-03-01,25.8047
1982-04-01,25.7880
1982-05-01,27.0755
1982-06-01,23.2418
1982-07-01,22.8783
1982-08-01,22.0895
1982-09-01,22.1236
1982-10-01,23.6954
1982-11-01,25.8076
1982-12-01,24.5949
1983-01-01,26.6297
1983-02-01,26.9112
1983-03-01,27.1643
1983-04-01,29.0716
1983-05-01,31.3800
1983-06-01,31.7899
1983-07-01,32.3551
1983-08-01,34.0568
1983-09-01,34.1286
1983-10-01,32.0309
1983-11-01,31.4496
