index,GOLDAMGBDollarD228NLBM,Industrial Production_Manufacturing (NAICS),"All Employees, Retail Trade",Unemployment_Rate,IndustrialProductionGoldSilver21222S,Federal Debt Held by Federal Reserve Banks,FEDFUNDS,Fed Debt_Total Public Debt as Perc of GDP,Households and Nonprofit Organizations_Total Assets,Total Vehicle Sales,New Private Housing Units Authorized by Building Permits,Corp_Total Assets
1969-01-31,42.290909090909096,36.6924,7039.7,3.4,24.9872,55.8,6.3,36.19577,4045.564,885.2,1459.0,1338.6129999999996
1969-02-28,42.61625,36.6924,6988.4,3.4,24.9872,55.8,6.61,35.80077266403289,4048.186802438281,885.2,1495.0,1348.5825922649346
1969-03-31,43.171428571428564,36.6924,7051.5,3.4,24.9872,55.8,6.79,35.30002065731012,4055.8592536716637,885.2,1438.0,1360.307246470883
1969-04-30,43.295,36.6924,7178.7,3.4,24.9872,55.8,7.41,34.97403,4064.354,885.2,1441.0,1371.496
1969-05-31,43.460714285714296,36.6924,7245.4,3.4,24.9872,55.8,8.67,34.845649696508474,4073.494293767232,885.2,1328.0,1382.7251458204971
1969-06-30,41.44166666666669,36.6924,7329.2,3.5,24.9872,55.8,8.9,34.90271717745728,4082.643491561826,885.2,1349.0,1393.4687209301626
1969-07-31,41.75521739130435,36.6924,7285.5,3.5,24.9872,55.8,8.61,35.019459999999995,4092.114,885.2,1278.0,1405.701
1969-08-31,41.12809523809525,36.6924,7287.6,3.5,24.9872,55.8,9.19,35.17345000044861,4101.5518064294065,885.2,1317.0,1419.2908751903885
1969-09-30,40.86452380952381,36.6924,7325.3,3.7,24.9872,55.8,9.15,35.345636321828756,4110.839529484179,885.2,1263.0,1433.2524148629113
1969-10-31,40.47608695652174,36.6924,7400.9,3.7,24.9872,55.8,9.0,35.46954,4121.772,885.2,1216.0,1445.458
1969-11-30,37.4515,36.6924,7547.5,3.5,24.9872,55.8,8.85,35.52486671508575,4133.829395960564,885.2,1191.0,1454.6376087176047
1969-12-31,35.18928571428571,36.6924,7881.1,3.5,24.9872,55.8,8.97,35.510081172288515,4145.530075389427,885.2,1155.0,1462.1575134273376
1970-01-31,34.945952380952384,36.6924,7315.5,3.9,24.9872,55.8,8.98,35.38879,4141.86,885.2,1062.0,1472.4979999999996
1970-02-28,34.99375,36.6924,7260.4,4.2,24.9872,56.35260363754987,8.98,35.18258429355249,4123.098540839459,885.2,1118.0,1484.9998064972585
1970-03-31,35.08849999999999,36.6924,7319.8,4.4,24.9872,57.01276248600921,7.76,34.87462423702713,4090.906402979524,885.2,1132.0,1501.417516878168
1970-04-30,35.62340909090909,36.6924,7400.3,4.6,24.9872,57.7,8.1,34.67329,4084.97,885.2,1224.0,1513.921
1970-05-31,35.95824999999999,36.6924,7436.6,4.8,24.9872,58.460132013788325,7.94,34.60057073277522,4112.249847955084,885.2,1328.0,1522.1468607462493
1970-06-30,35.43727272727273,36.6924,7481.8,4.9,24.9872,59.233035446257574,7.6,34.662017067586326,4166.141963269281,885.2,1322.0,1526.470411657363
1970-07-31,35.32934782608695,36.6924,7423.5,5.0,24.9872,60.0,7.21,34.86717,4219.539000000002,885.2,1324.0,1532.922
1970-08-31,35.37725000000001,36.6924,7401.2,5.1,24.9872,60.723103067708905,6.61,35.21720584214015,4265.519472468192,885.2,1394.0,1542.341592113902
1970-09-30,36.19613636363636,36.6924,7456.5,5.4,24.9872,61.38984676076088,6.29,35.632139355573024,4304.8013234557475,885.2,1426.0,1553.9043852623456
1970-10-31,37.55272727272728,36.6924,7512.5,5.5,24.9872,62.1,6.2,35.74822,4351.7040000000015,885.2,1564.0,1565.98
1970-11-30,37.454761904761895,36.6924,7611.9,5.9,24.9872,62.816474954980364,5.6,35.49620002397931,4405.047699559944,885.2,1502.0,1577.4104883406867
1970-12-31,37.43386363636363,36.6924,7962.3,6.1,24.9872,63.56701442395972,4.9,34.929858264003876,4465.9373252022915,885.2,1767.0,1589.037543309204
1971-01-31,37.86749999999999,36.6924,7452.5,5.9,24.9872,64.2,4.14,34.50345,4517.03,885.2,1643.0,1600.986
1971-02-28,38.716,36.6924,7374.2,5.9,24.9872,64.65110823420495,3.72,34.30760634787421,4552.360256757766,885.2,1588.0,1612.1323095658618
1971-03-31,38.87282608695652,36.6924,7423.1,6.0,24.9872,65.0448776579572,3.71,34.28526772721329,4580.635828400581,885.2,1759.0,1624.8103716604196
1971-04-30,39.00099999999999,36.6924,7549.5,5.9,24.9872,65.5,4.15,34.360890000000005,4604.487,885.2,1745.0,1637.065
1971-05-31,40.4925,36.6924,7608.5,5.9,24.9872,66.08290846445473,4.63,34.51997081284277,4626.976089117953,885.2,1972.0,1649.6424751212867
1971-06-30,40.104772727272746,36.6924,7668.8,5.9,24.9872,66.75980964694153,4.91,34.7452009321491,4648.001757957642,885.2,1903.0,1661.7508547633042
1971-07-31,40.9293181818182,36.6924,7625.3,6.0,24.9872,67.6,5.31,35.00694,4677.519,885.2,2069.0,1674.321
1971-08-31,42.72184210526316,36.6924,7637.1,6.1,24.9872,68.58722844613132,5.56,35.29075559830096,4716.372094771365,885.2,2004.0,1686.9707399677013
1971-09-30,41.97636363636364,36.6924,7704.1,6.0,24.9872,69.60188583778529,5.55,35.55652190588005,4762.3497528706785,885.2,1996.0,1699.4034125856406
1971-10-31,42.476190476190474,36.6924,7748.7,5.8,24.9872,70.2,5.2,35.63237,4815.278,885.2,2026.0,1713.178
1971-11-30,42.842045454545456,36.6924,7882.0,6.0,24.9872,70.26225809745637,4.91,35.483492708929674,4871.231024220735,885.2,2079.0,1727.5210231445112
1971-12-31,43.44642857142857,36.6924,8230.5,6.0,24.9872,69.91181483485333,4.14,35.12582885185225,4931.721238523381,885.2,2133.0,1743.0987103655746
1972-01-31,45.640238095238104,36.6924,7793.2,5.8,24.9872,69.9,3.5,34.72622,4980.76,885.2,2238.0,1757.5929999999996
1972-02-29,48.23666666666666,36.9567,7738.0,5.7,26.2182,70.31808891946618,3.29,34.341060146101086,5013.983483429773,885.2,2169.0,1769.8726833293076
1972-03-31,48.28840909090909,37.1965,7793.2,5.8,26.5612,71.09580094369858,3.83,33.93707810274,5038.36737829091,885.2,2105.0,1781.7858044627685
1972-04-30,49.02605263157895,37.644,7915.3,5.7,25.5496,71.4,4.17,33.67383,5065.488,885.2,2139.0,1793.054
1972-05-31,54.5,37.6836,7974.9,5.7,25.8149,71.1053895356769,4.27,33.55635575670527,5099.876251560512,885.2,2067.0,1804.6040360401153
1972-06-30,62.17045454545453,37.8022,8049.7,5.7,23.8359,70.33534570967613,4.46,33.57528623071935,5141.41339369182,885.2,2183.0,1816.2106889865356
1972-07-31,65.55833333333335,37.8128,7990.2,5.6,22.6023,69.7,4.55,33.62447,5206.177,885.2,2195.0,1831.943
1972-08-31,66.91704545454544,38.3031,8011.7,5.6,18.9615,69.33726548895544,4.8,33.685961497396576,5295.345987102161,885.2,2263.0,1852.0214510344351
1972-09-30,65.58928571428572,38.5731,8070.0,5.5,21.226,69.2968883770571,4.87,33.747052581990516,5397.363194643001,885.2,2393.0,1874.7574264557377
1972-10-31,64.82363636363635,39.1695,8154.7,5.6,22.1484,69.9,5.04,33.74758,5471.417,885.2,2354.0,1896.388
1972-11-30,62.72568181818181,39.6756,8332.3,5.3,21.5958,71.15878404495045,5.06,33.677374311855104,5505.217204508339,885.2,2234.0,1914.6847629668214
1972-12-31,63.77894736842106,40.2595,8664.1,5.2,21.2403,72.99079094669584,5.33,33.5297353756362,5506.376243270577,885.2,2419.0,1931.5332844151435
1973-01-31,65.12681818181817,40.5321,8157.0,4.9,22.072,74.3,5.94,33.29287,5507.448,885.2,2271.0,1950.543
