index,GOLDAMGBDollarD228NLBM,Industrial Production_Manufacturing (NAICS),"All Employees, Retail Trade",Unemployment_Rate,IndustrialProductionGoldSilver21222S,Federal Debt Held by Federal Reserve Banks,FEDFUNDS,Fed Debt_Total Public Debt as Perc of GDP,gold_pred_x,gold_pred_y,gold_pred_x.1,gold_pred_y.1,gold_pred
1969-01-31,42.290909090909096,36.6924,7039.7,3.4,24.9872,55.8,6.3,36.19577,34.928112,20.680708,20.680708,20.680708,20.680708
1969-02-28,42.61625,36.6924,6988.4,3.4,24.9872,55.8,6.61,35.80077266403289,35.375805,20.252089,20.252089,20.252089,20.252089
1969-03-31,43.171428571428564,36.6924,7051.5,3.4,24.9872,55.8,6.79,35.30002065731012,37.101025,22.373762,22.373762,22.373762,22.373762
1969-04-30,43.295,36.6924,7178.7,3.4,24.9872,55.8,7.41,34.97403,42.163006,26.367353,26.367353,26.367353,26.367353
1969-05-31,43.460714285714296,36.6924,7245.4,3.4,24.9872,55.8,8.67,34.845649696508474,49.99925,29.61125,29.61125,29.61125,29.61125
1969-06-30,41.44166666666669,36.6924,7329.2,3.5,24.9872,55.8,8.9,34.90271717745728,53.15601700000001,32.686657000000004,32.686657000000004,32.686657000000004,32.686657
1969-07-31,41.75521739130435,36.6924,7285.5,3.5,24.9872,55.8,8.61,35.019459999999995,50.716534,31.212538000000002,31.212538,31.212538000000002,31.212538
1969-08-31,41.12809523809525,36.6924,7287.6,3.5,24.9872,55.8,9.19,35.17345000044861,54.639324,31.859999,31.859999,31.859999,31.859999
1969-09-30,40.86452380952381,36.6924,7325.3,3.7,24.9872,55.8,9.15,35.345636321828756,58.193462,34.347057,34.347057,34.347057,34.347057
1969-10-31,40.47608695652174,36.6924,7400.9,3.7,24.9872,55.8,9.0,35.46954,59.306744,35.777996,35.777996,35.777996,35.777996
1969-11-30,37.4515,36.6924,7547.5,3.5,24.9872,55.8,8.85,35.52486671508575,61.8614,37.069256,37.069256,37.069256,37.069256
1969-12-31,35.18928571428571,36.6924,7881.1,3.5,24.9872,55.8,8.97,35.510081172288515,82.5728,45.40662800000001,45.40662800000001,45.406628000000005,45.406628
