round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
10,-5.760502052016523e+33,0.0,1.0,-2.9566296802479964e+30,0.0,1.0,elu,128,0,10,9,2,normal,sigmoid,binary_crossentropy,SGD
10,-232.6509039984809,0.0,1.0,-215.54217718215216,0.0,1.0,elu,32,0,10,9,0,normal,sigmoid,binary_crossentropy,Adam
10,-119.11947631835938,0.0,1.0,-108.30503169468471,0.0,1.0,elu,64,0,10,9,1,normal,sigmoid,binary_crossentropy,Adamax
10,-323.2200012207031,0.0,1.0,-291.1634216308594,0.0,1.0,relu,128,0,10,11,1,uniform,sigmoid,binary_crossentropy,Adagrad
10,-43801.31918402778,0.0,1.0,-30093.561979166665,0.0,1.0,elu,16,0,10,11,2,uniform,sigmoid,binary_crossentropy,Adadelta
10,-1.9537983645577702e+33,0.0,1.0,-1.023366057731114e+30,0.0,1.0,relu,128,0,10,9,2,normal,sigmoid,binary_crossentropy,SGD
10,-1899.7883409288195,0.0,1.0,-1790.8594703311012,0.0,1.0,relu,16,0,10,9,0,normal,sigmoid,binary_crossentropy,Adagrad
10,-128.99823438856336,0.0,1.0,-113.65932965959821,0.0,1.0,elu,32,0,10,11,2,normal,sigmoid,binary_crossentropy,Adam
10,-63.684173583984375,0.0,1.0,-57.45508575439453,0.0,1.0,elu,128,0,10,11,2,uniform,sigmoid,binary_crossentropy,Adamax
10,-510.65614420572916,0.0,1.0,-426.56657249813986,0.0,1.0,elu,32,0,10,9,0,normal,sigmoid,binary_crossentropy,Nadam
