,10,20,32,64,128,256
0,0.71402526,,,,,
1,,,,,0.21175236,
2,,,0.13274175,,,
3,,,0.14348467,,,
4,,,,,,0.56928176
5,,,,,,0.715551
6,0.112795815,,,,,
7,0.14078264,,,,,
8,,0.12931618,,,,
9,,,,0.16316308,,
10,,0.11807052,,,,
11,,0.15287183,,,,
12,,,,,,0.6994197
13,,,,0.19425358,,
14,,0.116190486,,,,
15,,0.13690849,,,,
16,,0.14966868,,,,
17,,,,,,0.20155524
18,,0.14945439,,,,
19,,,,,,0.20105332
20,,,,,0.29920045,
21,,,0.17075704,,,
22,0.13070686,,,,,
23,,,,0.22754452,,
24,0.1477791,,,,,
25,,,0.17616269,,,
26,,,0.71808267,,,
27,,,,,,0.6987995
28,,0.1683414,,,,
29,0.11776026,,,,,
30,,,,0.15965942,,
31,,,,,,0.42159814
32,,,,0.7153971,,
33,,,0.14145032,,,
34,,,,,0.5145427,
35,,,,,,0.5043589
36,,,0.17142168,,,
37,,,0.17313434,,,
38,,,,,0.715724,
39,,,,,,0.21146652
40,,,0.17841753,,,
41,,,,,0.21216145,
42,0.14150056,,,,,
43,,,,,0.17330445,
44,,,,0.15825385,,
45,,0.14119263,,,,
46,0.12590922,,,,,
47,,,,0.7138544,,
48,0.108453274,,,,,
49,,,,,,0.698275
50,,,,,0.5448521,
51,,,,0.2229284,,
52,,,,,,0.70431787
53,,0.115066364,,,,
54,,,,,,0.21191761
55,,,,,0.5630476,
56,,,,,0.19037879,
57,,,,0.1976704,,
58,,0.11508498,,,,
59,0.1152531,,,,,
60,,,,0.16144085,,
61,,,0.15025607,,,
62,,0.710115,,,,
63,0.7243631,,,,,
64,,,,,,0.69583976
65,,,,0.16156393,,
66,,,0.1349552,,,
67,0.14002599,,,,,
68,,,,,,0.20849055
69,,0.14019915,,,,
70,,,,,0.53626007,
71,0.1346224,,,,,
72,,0.13085042,,,,
73,,,,0.7139243,,
74,0.11334898,,,,,
75,,,,,0.26453108,
76,0.13806216,,,,,
77,,,,0.16207372,,
78,0.12067266,,,,,
79,,,,,0.20228234,
80,0.13053446,,,,,
81,,,,0.20151658,,
82,0.34591392,,,,,
83,,,,,0.18272346,
84,,0.7117059,,,,
85,,,,,0.71484303,
86,,,,0.16495582,,
87,,,,,0.5526933,
88,,0.14575589,,,,
89,0.12860082,,,,,
90,,,0.71107453,,,
91,,,,,,0.7022444
92,,0.12472445,,,,
93,,,,,,0.69670594
94,,,,,0.32691163,
95,0.13761938,,,,,
96,0.1071477,,,,,
97,,,,0.19436935,,
98,,,0.17240727,,,
99,,,,,,0.5730947
100,0.70937014,,,,,
101,0.14335324,,,,,
102,,0.1354064,,,,
103,,0.71349424,,,,
104,0.7099442,,,,,
105,0.12427476,,,,,
106,,,,,,0.71544987
107,0.11602109,,,,,
108,0.1301572,,,,,
109,,,,0.21875033,,
110,,,,,0.22099926,
111,,,0.12475198,,,
112,0.116548136,,,,,
113,,0.14605255,,,,
114,,,0.14084508,,,
115,,,,,,0.5836531
116,,,0.71499753,,,
117,,,0.1457365,,,
118,,,0.12923233,,,
119,,,0.7133732,,,
120,,,,0.22449033,,
121,,,,,,0.61023587
122,,,0.71172744,,,
123,,0.14318559,,,,
124,,0.70516425,,,,
125,,,,,,0.55833924
126,,,,,,0.71525156
127,,,,,,0.4694956
128,,,,,0.7141253,
129,,,,,,0.2062669
130,0.13514034,,,,,
131,,,,,0.55912966,
132,,,,,0.71474797,
133,,0.14431135,,,,
134,,,,,,0.69762015
135,,,,0.2235778,,
136,,0.71706855,,,,
137,,,,,,0.5346107
138,,,0.71289486,,,
139,,,,,,0.70355
140,0.71066827,,,,,
141,,0.116866335,,,,
142,,,,,0.57083225,
143,,0.14876679,,,,
144,0.124679975,,,,,
145,,,,,,0.5868349
146,,0.15246585,,,,
147,,0.12489647,,,,
148,0.1381151,,,,,
149,,,,,0.20235525,
150,0.7127412,,,,,
151,0.1264949,,,,,
152,,0.71612215,,,,
153,,,,,0.71421355,
154,,0.709509,,,,
155,,,,,,0.71557146
156,,,,0.15301853,,
157,,,,,0.29190037,
158,,,,,,0.7155622
159,,,,,0.7152581,
160,,,0.17363697,,,
161,0.71244884,,,,,
162,,,0.17164151,,,
163,,,,0.14940667,,
164,,0.7113579,,,,
165,,,0.13302565,,,
166,0.13530622,,,,,
167,,,0.18424347,,,
168,,,,0.7141323,,
169,,0.15304169,,,,
170,,0.14714155,,,,
