,Adam,Nadam,SGD,RMSprop,Adagrad
0,,,0.71670645,,
1,0.15530652,,,,
2,,,,,0.13452579
3,,,0.71253824,,
4,,,,0.14146382,
5,,,,0.1540625,
6,,,0.71264446,,
7,,,,0.1468727,
8,,0.13536775,,,
9,,,0.71925586,,
10,,,,0.15567954,
11,,0.11770386,,,
12,0.15948842,,,,
13,0.15875275,,,,
14,,,,,0.14655823
15,,,0.7120066,,
16,,0.12861857,,,
17,0.15994526,,,,
18,,,0.7152,,
19,,,,0.14898351,
20,,,0.7098514,,
21,0.1591389,,,,
22,,0.114133194,,,
23,,,0.716277,,
24,,,,0.15286843,
25,,0.12298454,,,
26,,,,0.15663704,
27,,,0.71055186,,
28,0.15672942,,,,
29,,,0.7183877,,
30,,,,0.15524422,
31,,,,0.15214801,
32,,,0.71387595,,
33,,0.11875805,,,
34,,,,0.15262708,
35,,,,0.16498175,
36,,,,0.15836205,
37,,,,,0.14679758
38,0.15513895,,,,
39,,0.11757058,,,
40,,0.12313174,,,
41,,,,,0.1333005
42,,,0.70974284,,
43,,,,0.15369163,
44,,,,,0.13530684
45,,,0.71004987,,
46,,0.12987472,,,
47,,,,,0.13314469
48,0.15172832,,,,
49,,,,0.15149811,
50,,,0.70771277,,
51,,0.11695882,,,
52,,0.11958191,,,
53,,0.12520412,,,
54,,0.12384986,,,
55,0.145171,,,,
56,,,0.72118354,,
57,,,0.70662504,,
58,0.15514435,,,,
59,0.15685612,,,,
60,,0.12926106,,,
61,,,,,0.1481627
62,,,0.7114652,,
63,,,0.7108533,,
64,,,,,0.14730383
65,,,,,0.15306695
66,0.15553835,,,,
67,,,,0.16256474,
68,0.14922999,,,,
69,,,,,0.14287208
70,,,0.71726084,,
71,,,,0.15127638,
72,0.16476013,,,,
73,,,,,0.12792194
74,,,0.72028023,,
75,,,,0.15972884,
76,0.15191524,,,,
77,,,,0.13833249,
78,,,,,0.14749655
79,,,,,0.13902093
80,0.15109223,,,,
81,,,,0.15110146,
82,,,,,0.1439154
83,0.141783,,,,
84,,,0.70706266,,
85,,0.12455535,,,
86,,,0.7164865,,
87,,,,,0.14690115
88,,,,0.15223359,
89,,,0.71395934,,
90,,,,,0.14941198
91,0.16138215,,,,
92,,0.12300434,,,
93,0.15151931,,,,
94,0.14144243,,,,
95,,,0.71104413,,
96,,,0.7151386,,
97,,,,0.15556325,
98,,0.12142456,,,
99,0.15144384,,,,
